Item Fat Content,Item Type,Item_MRP,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Rating,Item_Outlet_Sales,Total Sales
Low Fat,Frozen Foods,196.5084,Tier 3,Medium,Supermarket Type2,0.022976497,5,1587.2672,261.6594
Low Fat,Dairy,107.6938,Tier 3,Medium,Supermarket Type2,0.042413704,5,214.3876,173.1764
Regular,Dairy,165.021,Tier 2,Medium,Supermarket Type1,0.065431917,5,4078.025,76.1986
Low Fat,Frozen Foods,45.906,Tier 2,Medium,Supermarket Type1,0.140241213,5,838.908,150.2392
Low Fat,Frozen Foods,42.3112,Tier 2,Small,Supermarket Type1,0.033935576,5,1065.28,221.9456
Regular,Fruits and Vegetables,39.1164,Tier 3,Medium,Supermarket Type3,0.016516275,5,308.9312,47.4034
Low Fat,Frozen Foods,45.5086,Tier 1,Small,Supermarket Type1,0.026537206,5,178.4344,57.2614
Regular,Breakfast,43.6454,Tier 1,Medium,Supermarket Type1,0.131128467,5,125.8362,93.1804
Low Fat,Household,55.7956,Tier 1,Small,Supermarket Type1,0.080640478,5,163.7868,167.779
Low Fat,Health and Hygiene,96.4436,Tier 3,High,Supermarket Type1,0.01946418,5,2741.7644,196.3794
Low Fat,Hard Drinks,256.6672,Tier 3,High,Supermarket Type1,0.046545786,5,3068.0064,59.9878
Low Fat,Household,93.1436,Tier 3,High,Supermarket Type1,0.184689756,5,2174.5028,35.4216
Low Fat,Snack Foods,174.8738,Tier 2,Medium,Supermarket Type1,0.025342692,5,2085.2856,174.3054
low fat,Frozen Foods,146.7102,Tier 3,High,Supermarket Type1,0.037923509,5,3791.0652,61.651
Low Fat,Fruits and Vegetables,128.0678,Tier 2,Medium,Supermarket Type1,0.121848436,5,2797.6916,46.8402
Regular,Snack Foods,122.5388,Tier 2,Medium,Supermarket Type1,0.038029746,5,1609.9044,88.6856
Low Fat,Fruits and Vegetables,36.9874,Tier 1,Medium,Supermarket Type1,0.057485328,5,388.1614,126.2046
Regular,Meat,87.6198,Tier 1,Small,Supermarket Type1,0.085274988,5,2180.495,119.6124
Regular,Dairy,230.6352,Tier 3,High,Supermarket Type1,0.108148913,5,3435.528,95.6752
Regular,Fruits and Vegetables,126.002,Tier 3,Medium,Supermarket Type3,0.018838681,5,2150.534,62.9536
Low Fat,Hard Drinks,192.9136,Tier 2,Medium,Supermarket Type1,0.048115543,5,2527.3768,159.0946
Low Fat,Snack Foods,259.9278,Tier 1,Medium,Supermarket Type1,0.174621343,5,6768.5228,104.2964
Regular,Breakfast,126.5046,Tier 3,Medium,Grocery Store,0.105994654,5,373.5138,150.5682
Low Fat,Others,178.1002,Tier 3,High,Supermarket Type1,0.182501773,5,358.2004,239.2196
Low Fat,Household,153.3024,Tier 2,Small,Supermarket Type1,0.048931174,5,2428.8384,127.3336
LF,Frozen Foods,265.2226,Tier 1,Medium,Supermarket Type1,0.013658248,5,5815.0972,256.3304
LF,Household,60.622,Tier 1,Medium,Supermarket Type1,0.011305479,5,2576.646,235.5248
Low Fat,Baking Goods,196.8794,Tier 1,Medium,Supermarket Type1,0.014653896,5,780.3176,82.425
Low Fat,Canned,143.8812,Tier 1,Medium,Supermarket Type1,0.025867353,5,3134.5864,264.6226
Low Fat,Canned,141.5154,Tier 1,Medium,Supermarket Type1,0.024201905,5,850.8924,114.915
Low Fat,Dairy,117.0492,Tier 1,Medium,Supermarket Type1,0.028461453,5,810.9444,152.234
Low Fat,Frozen Foods,196.3794,Tier 1,Medium,Supermarket Type1,0.086266286,5,3121.2704,147.2076
Low Fat,Frozen Foods,151.4708,Tier 1,Medium,Supermarket Type1,0.005557062,5,4815.0656,122.1414
Low Fat,Frozen Foods,249.0408,Tier 1,Medium,Supermarket Type1,0.013834247,5,6258.52,62.7168
Low Fat,Frozen Foods,106.1622,Tier 1,Medium,Supermarket Type1,0.016637301,5,2117.244,120.9098
Low Fat,Fruits and Vegetables,38.0506,Tier 1,Medium,Supermarket Type1,0.031331581,5,796.9626,111.1228
Low Fat,Fruits and Vegetables,194.511,Tier 1,Medium,Supermarket Type1,0.041459804,5,4910.275,39.2164
Low Fat,Fruits and Vegetables,180.0344,Tier 1,Medium,Supermarket Type1,0,5,892.172,111.9518
Low Fat,Hard Drinks,246.9144,Tier 1,Medium,Supermarket Type1,0.003597678,5,3185.1872,153.8998
Low Fat,Hard Drinks,87.3514,Tier 1,Medium,Supermarket Type1,0.086916126,5,1062.6168,153.3682
Low Fat,Health and Hygiene,38.2848,Tier 1,Medium,Supermarket Type1,0.035247642,5,484.7024,84.7224
Low Fat,Household,51.0692,Tier 1,Medium,Supermarket Type1,0.028365524,5,147.8076,110.0912
Low Fat,Household,255.8356,Tier 1,Medium,Supermarket Type1,0.015186146,5,2543.356,144.947
Low Fat,Household,185.4266,Tier 1,Medium,Supermarket Type1,0.048134591,5,184.4266,107.7622
Low Fat,Household,172.5738,Tier 1,Medium,Supermarket Type1,0.047791878,5,4865.6664,180.766
Low Fat,Household,186.024,Tier 1,Medium,Supermarket Type1,0.007468056,5,1118.544,186.9556
Low Fat,Household,164.8526,Tier 1,Medium,Supermarket Type1,0.113694957,5,2302.3364,253.4724
Low Fat,Household,95.841,Tier 1,Medium,Supermarket Type1,0.067400032,5,2027.361,41.9796
Low Fat,Meat,170.1764,Tier 1,Medium,Supermarket Type1,0.026882496,5,3435.528,126.302
Low Fat,Snack Foods,59.222,Tier 1,Medium,Supermarket Type1,0.010027885,5,599.22,249.6408
Low Fat,Snack Foods,164.7526,Tier 1,Medium,Supermarket Type1,0.028988288,5,4604.6728,239.2222
Low Fat,Snack Foods,189.6188,Tier 1,Medium,Supermarket Type1,0.020600553,5,2285.0256,147.5734
Regular,Baking Goods,254.3698,Tier 1,Medium,Supermarket Type1,0.075868843,5,5580.7356,261.7568
Regular,Baking Goods,114.0176,Tier 1,Medium,Supermarket Type1,0.079419755,5,2290.352,99.8042
Regular,Breads,172.3422,Tier 1,Medium,Supermarket Type1,0.030311951,5,1207.0954,247.4092
Regular,Canned,89.9804,Tier 1,Medium,Supermarket Type1,0.030742083,5,643.1628,85.554
Regular,Dairy,104.9622,Tier 1,Medium,Supermarket Type1,0.02976887,5,1587.933,145.4786
Regular,Dairy,222.5456,Tier 1,Medium,Supermarket Type1,0,5,5305.0944,194.2794
Regular,Frozen Foods,101.87,Tier 1,Medium,Supermarket Type1,0.066833743,5,1697.79,257.2962
Regular,Frozen Foods,180.3344,Tier 1,Medium,Supermarket Type1,0.077284566,5,1427.4752,172.4106
Regular,Frozen Foods,187.9556,Tier 1,Medium,Supermarket Type1,0.09942555,5,4693.89,87.0856
Regular,Meat,194.6136,Tier 1,Medium,Supermarket Type1,0.012477512,5,583.2408,197.111
Regular,Meat,171.3764,Tier 1,Medium,Supermarket Type1,0.026643448,5,3091.9752,37.9532
Regular,Snack Foods,177.0028,Tier 1,Medium,Supermarket Type1,0.027386122,5,2479.4392,259.2304
Regular,Snack Foods,160.992,Tier 1,Medium,Supermarket Type1,0.011443222,5,2716.464,73.5038
Regular,Snack Foods,155.963,Tier 1,Medium,Supermarket Type1,0.058207114,5,3285.723,59.1562
low fat,Health and Hygiene,95.6436,Tier 1,Medium,Supermarket Type1,0.009893817,5,661.8052,50.3034
reg,Baking Goods,117.2808,Tier 1,Medium,Supermarket Type1,0.18614827,5,1523.3504,78.2328
reg,Dairy,122.173,Tier 1,Medium,Supermarket Type1,0.114294512,5,369.519,94.9436
LF,Others,39.9138,Tier 1,Small,Grocery Store,0.023402893,5,690.4346,108.228
Low Fat,Canned,55.1614,Tier 1,Small,Grocery Store,0.196490902,5,1381.535,120.544
Low Fat,Dairy,57.893,Tier 1,Small,Grocery Store,0.24749009,5,622.523,263.1884
Low Fat,Fruits and Vegetables,114.5492,Tier 1,Small,Grocery Store,0.037824735,5,1274.3412,109.7228
Low Fat,Fruits and Vegetables,120.0414,Tier 1,Small,Grocery Store,0.142107998,5,487.3656,150.3734
Low Fat,Fruits and Vegetables,246.046,Tier 1,Small,Grocery Store,0.04506213,5,1231.73,167.5474
Low Fat,Health and Hygiene,187.4556,Tier 1,Small,Grocery Store,0.044000492,5,3755.112,148.2734
Low Fat,Health and Hygiene,149.9708,Tier 1,Small,Grocery Store,0,5,4363.6532,123.473
Low Fat,Health and Hygiene,187.8556,Tier 1,Small,Grocery Store,0.044607722,5,1314.2892,145.976
Low Fat,Health and Hygiene,151.0708,Tier 1,Small,Grocery Store,0.031024168,5,1805.6496,210.5244
Low Fat,Household,178.5344,Tier 1,Small,Grocery Store,0.091924311,5,2854.9504,189.753
Low Fat,Household,179.1028,Tier 1,Small,Grocery Store,0.103188491,5,3896.2616,244.346
Low Fat,Household,38.7822,Tier 1,Small,Grocery Store,0.158562708,5,667.7974,194.711
Low Fat,Household,212.0902,Tier 1,Small,Grocery Store,0.067824456,5,3185.853,167.7842
Low Fat,Meat,141.1838,Tier 1,Small,Grocery Store,0.029299175,5,2247.7408,140.318
Low Fat,Seafood,163.121,Tier 1,Small,Grocery Store,0.128532558,5,1794.331,34.2216
Regular,Breakfast,121.3098,Tier 1,Small,Grocery Store,0.098606543,5,2530.7058,232.73
Regular,Canned,225.372,Tier 1,Small,Grocery Store,0.182236555,5,679.116,107.1622
Regular,Fruits and Vegetables,41.4138,Tier 1,Small,Grocery Store,0.209162936,5,812.276,179.1976
Regular,Meat,232.53,Tier 1,Small,Grocery Store,0.077480627,5,699.09,101.399
Regular,Starchy Foods,102.4016,Tier 1,Small,Grocery Store,0.012327847,5,2732.4432,173.8738
reg,Canned,176.937,Tier 1,Small,Grocery Store,0.014342659,5,176.437,103.7674
reg,Frozen Foods,121.7098,Tier 1,Small,Grocery Store,0,5,4097.3332,83.7566
Low Fat,Baking Goods,173.2054,Tier 1,Small,Supermarket Type1,0.083004078,5,3151.8972,119.4756
Low Fat,Canned,239.0906,Tier 1,Small,Supermarket Type1,0.01043823,5,5942.265,115.8808
Low Fat,Canned,192.4478,Tier 1,Small,Supermarket Type1,0.151405587,5,4843.695,107.728
Low Fat,Canned,109.0228,Tier 1,Small,Supermarket Type1,0.073827748,5,2542.0244,208.8638
Low Fat,Dairy,140.3154,Tier 1,Small,Supermarket Type1,0.028417272,5,2552.6772,154.534
Low Fat,Dairy,227.0694,Tier 1,Small,Supermarket Type1,0.024194731,5,1141.847,36.1874
Low Fat,Frozen Foods,47.5034,Tier 1,Small,Supermarket Type1,0.02687089,5,680.4476,264.491
Low Fat,Fruits and Vegetables,159.0578,Tier 1,Small,Supermarket Type1,0.037581243,5,2085.9514,175.5054
Low Fat,Fruits and Vegetables,92.512,Tier 1,Small,Supermarket Type1,0.034306962,5,186.424,252.3356
Low Fat,Health and Hygiene,190.153,Tier 1,Small,Supermarket Type1,0.044908404,5,3036.048,140.2838
Low Fat,Health and Hygiene,62.7194,Tier 1,Small,Supermarket Type1,0.018905326,5,866.8716,234.659
Low Fat,Household,95.041,Tier 1,Small,Supermarket Type1,0.090562192,5,868.869,198.211
Low Fat,Household,82.4276,Tier 1,Small,Supermarket Type1,0.015687045,5,1137.1864,182.6976
Low Fat,Household,52.7956,Tier 1,Small,Supermarket Type1,0.108030434,5,928.1252,32.4558
Low Fat,Household,151.7682,Tier 1,Small,Supermarket Type1,0.021326471,5,762.341,76.1328
Low Fat,Meat,40.2822,Tier 1,Small,Supermarket Type1,0.010630949,5,707.0796,65.9826
Low Fat,Meat,180.5976,Tier 1,Small,Supermarket Type1,0.032538896,5,7968.2944,165.7842
Low Fat,Snack Foods,160.292,Tier 1,Small,Supermarket Type1,0.116542484,5,1438.128,182.6266
Low Fat,Snack Foods,224.4404,Tier 1,Small,Supermarket Type1,0.052176861,5,6976.2524,122.8072
Low Fat,Snack Foods,101.7016,Tier 1,Small,Supermarket Type1,0.076855628,5,101.2016,161.0236
Low Fat,Snack Foods,188.5188,Tier 1,Small,Supermarket Type1,0.039577173,5,952.094,166.1526
Low Fat,Soft Drinks,116.0492,Tier 1,Small,Supermarket Type1,0.030795085,5,1969.4364,143.3154
Low Fat,Soft Drinks,165.4526,Tier 1,Small,Supermarket Type1,0.107597879,5,5262.4832,58.7904
Regular,Baking Goods,60.5852,Tier 1,Small,Supermarket Type1,0.10039894,5,1314.2892,89.6856
Regular,Baking Goods,90.8172,Tier 1,Small,Supermarket Type1,0.045266806,5,535.3032,36.9874
Regular,Breakfast,132.1284,Tier 1,Small,Supermarket Type1,0.020718655,5,263.6568,130.4994
Regular,Canned,154.5972,Tier 1,Small,Supermarket Type1,0.019768503,5,1402.1748,88.6198
Regular,Dairy,105.1622,Tier 1,Small,Supermarket Type1,0.023322478,5,1693.7952,182.5608
Regular,Frozen Foods,105.5938,Tier 1,Small,Supermarket Type1,0.04712061,5,2143.876,53.1666
Regular,Frozen Foods,177.6344,Tier 1,Small,Supermarket Type1,0.125602951,5,2676.516,100.8358
Regular,Frozen Foods,53.064,Tier 1,Small,Supermarket Type1,0.041571557,5,905.488,49.9376
Regular,Meat,246.3802,Tier 1,Small,Supermarket Type1,0.078060601,5,7370.406,106.3596
Regular,Seafood,226.8404,Tier 1,Small,Supermarket Type1,0.021573645,5,6301.1312,184.6582
Regular,Seafood,160.692,Tier 1,Small,Supermarket Type1,0.146299902,5,1597.92,150.405
Regular,Snack Foods,178.237,Tier 1,Small,Supermarket Type1,0.005963881,5,529.311,99.5358
Regular,Snack Foods,117.5492,Tier 1,Small,Supermarket Type1,0.123710526,5,1969.4364,37.1874
LF,Dairy,50.3692,Tier 2,Medium,Supermarket Type1,0,5,1034.6532,171.5764
LF,Health and Hygiene,161.521,Tier 2,Medium,Supermarket Type1,0,5,1794.331,39.1506
LF,Soft Drinks,197.6426,Tier 2,Medium,Supermarket Type1,0.073697713,5,2768.3964,91.912
Low Fat,Baking Goods,31.29,Tier 2,Medium,Supermarket Type1,0.075701524,5,898.83,124.6388
Low Fat,Baking Goods,226.172,Tier 2,Medium,Supermarket Type1,0.11349714,5,3169.208,56.1956
Low Fat,Breakfast,223.5746,Tier 2,Medium,Supermarket Type1,0.021420031,5,3589.9936,232.0326
Low Fat,Canned,132.5626,Tier 2,Medium,Supermarket Type1,0.089859642,5,262.3252,140.2496
Low Fat,Canned,99.8358,Tier 2,Medium,Supermarket Type1,0.124301968,5,1910.1802,89.7488
Low Fat,Dairy,140.9154,Tier 2,Medium,Supermarket Type1,0.058220302,5,1701.7848,247.4802
Low Fat,Frozen Foods,154.5656,Tier 2,Medium,Supermarket Type1,0.115563679,5,2471.4496,96.0094
Low Fat,Frozen Foods,54.764,Tier 2,Medium,Supermarket Type1,0.12780038,5,1331.6,83.6224
Low Fat,Fruits and Vegetables,97.0094,Tier 2,Medium,Supermarket Type1,0.043651198,5,1808.9786,146.1418
Low Fat,Fruits and Vegetables,222.5456,Tier 2,Medium,Supermarket Type1,0.041479396,5,3315.684,36.8164
Low Fat,Fruits and Vegetables,114.2518,Tier 2,Medium,Supermarket Type1,0.037657459,5,2618.5914,175.8054
Low Fat,Fruits and Vegetables,214.556,Tier 2,Medium,Supermarket Type1,0.072444983,5,2769.728,48.6034
Low Fat,Fruits and Vegetables,233.4958,Tier 2,Medium,Supermarket Type1,0.015591925,5,5375.0034,184.8266
Low Fat,Fruits and Vegetables,216.8824,Tier 2,Medium,Supermarket Type1,0.096929994,5,2838.9712,233.8958
Low Fat,Fruits and Vegetables,125.0046,Tier 2,Medium,Supermarket Type1,0.045761855,5,1743.0644,125.602
Low Fat,Health and Hygiene,198.8084,Tier 2,Small,Supermarket Type1,0.024432767,5,5555.4352,116.4492
Low Fat,Health and Hygiene,61.9194,Tier 2,Small,Supermarket Type1,0.041950753,5,619.194,190.0214
Low Fat,Health and Hygiene,164.821,Tier 2,Small,Supermarket Type1,0.058855357,5,2120.573,79.1618
Low Fat,Household,173.0738,Tier 2,Small,Supermarket Type1,0.024937792,5,3823.0236,148.4392
Low Fat,Household,151.4366,Tier 2,Small,Supermarket Type1,0.105459307,5,1360.2294,84.625
Low Fat,Household,178.8318,Tier 2,Small,Supermarket Type1,0.070712031,5,3969.4996,216.4192
Low Fat,Household,115.1834,Tier 2,Small,Supermarket Type1,0.021468792,5,345.5502,251.675
Low Fat,Household,196.5794,Tier 2,Small,Supermarket Type1,0.177629525,5,585.2382,173.9422
Low Fat,Household,92.6804,Tier 2,Small,Supermarket Type1,0.01433033,5,1010.6844,104.2332
Low Fat,Snack Foods,81.4618,Tier 2,Small,Supermarket Type1,0.03324652,5,161.1236,172.4422
Low Fat,Snack Foods,42.1112,Tier 2,Small,Supermarket Type1,0.041028937,5,42.6112,142.6496
Low Fat,Soft Drinks,157.4604,Tier 2,Small,Supermarket Type1,0,5,3010.7476,189.853
Low Fat,Soft Drinks,153.0656,Tier 2,Small,Supermarket Type1,0.05190652,5,6024.1584,188.1898
Low Fat,Soft Drinks,198.1426,Tier 2,Small,Supermarket Type1,0.067592098,5,988.713,246.0486
Low Fat,Baking Goods,117.944,Tier 2,Small,Supermarket Type1,0.081050006,5,239.688,79.196
Low Fat,Canned,112.8176,Tier 2,Small,Supermarket Type1,0.125210375,5,1374.2112,266.8884
Low Fat,Canned,226.8062,Tier 2,Small,Supermarket Type1,0.13727,5,4739.8302,94.4094
Low Fat,Dairy,100.0016,Tier 2,Small,Supermarket Type1,0.005264755,5,1012.016,264.5884
Low Fat,Frozen Foods,165.7526,Tier 2,Small,Supermarket Type1,0.032811503,5,657.8104,239.6906
Low Fat,Frozen Foods,130.431,Tier 2,Small,Supermarket Type1,0.021984639,5,778.986,191.2162
Low Fat,Frozen Foods,179.766,Tier 2,Small,Supermarket Type1,0.039517121,5,2336.958,243.6802
Low Fat,Fruits and Vegetables,85.0882,Tier 2,Small,Supermarket Type1,0.052274691,5,2233.0932,79.1986
Low Fat,Fruits and Vegetables,103.9648,Tier 2,Small,Supermarket Type1,0.046747071,5,1661.8368,49.9692
Low Fat,Fruits and Vegetables,264.7568,Tier 2,Small,Supermarket Type1,0.020664178,5,4745.8224,50.8324
Low Fat,Hard Drinks,164.1526,Tier 2,Small,Supermarket Type1,0.041065647,5,3124.5994,223.5088
Low Fat,Hard Drinks,50.1324,Tier 2,Small,Supermarket Type1,0.016921927,5,467.3916,178.366
Low Fat,Hard Drinks,182.5976,Tier 2,Small,Supermarket Type1,0.136500981,5,5070.7328,173.3422
Low Fat,Health and Hygiene,37.6164,Tier 2,Small,Supermarket Type1,0.030527166,5,540.6296,33.5874
Low Fat,Health and Hygiene,48.0718,Tier 2,Small,Supermarket Type1,0.048388423,5,992.7078,163.0526
Low Fat,Health and Hygiene,238.8538,Tier 2,Small,Supermarket Type1,0,5,6008.845,149.2708
Low Fat,Health and Hygiene,62.9194,Tier 2,Small,Supermarket Type1,0.05233528,5,2105.2596,108.128
Low Fat,Household,232.63,Tier 2,Small,Supermarket Type1,0.006012413,5,5359.69,163.0526
Low Fat,Household,104.628,Tier 2,High,Supermarket Type1,0.059741172,5,745.696,179.6976
Low Fat,Household,161.8868,Tier 2,High,Supermarket Type1,0.059268885,5,3275.736,246.446
Low Fat,Household,140.2154,Tier 2,High,Supermarket Type1,0.027052013,5,1701.7848,73.9354
Low Fat,Meat,177.937,Tier 2,High,Supermarket Type1,0.033275634,5,6704.606,173.8738
Low Fat,Meat,242.7512,Tier 2,High,Supermarket Type1,0.01005532,5,4119.9704,183.1608
Low Fat,Others,81.5934,Tier 2,High,Supermarket Type1,0.012167988,5,327.5736,190.253
Low Fat,Others,45.7402,Tier 2,High,Supermarket Type1,0.111931193,5,780.9834,108.8912
Low Fat,Snack Foods,189.3846,Tier 2,High,Supermarket Type1,0.092282353,5,3630.6074,227.2352
Low Fat,Snack Foods,107.3622,Tier 2,High,Supermarket Type1,0.012679191,5,317.5866,139.818
Low Fat,Snack Foods,39.7164,Tier 2,High,Supermarket Type1,0.048160824,5,231.6984,188.9898
Regular,Canned,32.99,Tier 2,High,Supermarket Type1,0.032242661,5,133.16,187.624
Regular,Canned,245.1802,Tier 2,High,Supermarket Type1,0.030905215,5,5650.6446,227.6352
Regular,Canned,263.7568,Tier 2,High,Supermarket Type1,0.031330907,5,2636.568,52.364
Regular,Canned,96.0726,Tier 2,High,Supermarket Type1,0.012036432,5,1272.3438,165.7184
Regular,Dairy,161.5552,Tier 2,High,Supermarket Type1,0.063354531,5,324.9104,88.9856
Regular,Dairy,130.0626,Tier 2,High,Supermarket Type1,0.029782937,5,131.1626,146.3786
Regular,Frozen Foods,131.2968,Tier 2,High,Supermarket Type1,0.051596927,5,260.9936,128.0678
Regular,Frozen Foods,260.0936,Tier 2,High,Supermarket Type1,0.054565932,5,260.9936,152.2366
Regular,Fruits and Vegetables,160.6578,Tier 2,High,Supermarket Type1,0.014394261,5,3690.5294,241.3512
Regular,Fruits and Vegetables,40.2822,Tier 2,High,Supermarket Type1,0.053692878,5,1139.1838,222.9088
Regular,Meat,52.9298,Tier 2,High,Supermarket Type1,0.061301149,5,1995.4026,122.1388
Regular,Snack Foods,88.3514,Tier 2,High,Supermarket Type1,0,5,1416.8224,186.4898
Regular,Snack Foods,37.2506,Tier 2,High,Supermarket Type1,0.011148865,5,265.6542,84.854
Regular,Snack Foods,121.7072,Tier 2,High,Supermarket Type1,0.01100413,5,3552.7088,167.1842
Regular,Snack Foods,161.5578,Tier 2,High,Supermarket Type1,0.125528734,5,2406.867,262.191
Regular,Baking Goods,211.956,Tier 2,High,Supermarket Type1,0.044272226,5,213.056,181.395
Regular,Baking Goods,124.173,Tier 2,High,Supermarket Type1,0.100966837,5,2956.152,86.8856
Regular,Baking Goods,152.134,Tier 2,High,Supermarket Type1,0.141406394,5,153.134,50.0008
Regular,Baking Goods,79.7644,Tier 2,High,Supermarket Type1,0.038102203,5,1649.8524,154.0656
Regular,Baking Goods,181.9292,Tier 2,High,Supermarket Type1,0.118025091,5,3101.2964,195.811
Regular,Breads,165.6526,Tier 2,High,Supermarket Type1,0.169137707,5,4769.1254,35.2874
Regular,Canned,170.4764,Tier 2,High,Supermarket Type1,0.154363209,5,3435.528,50.835
Regular,Frozen Foods,86.4198,Tier 2,High,Supermarket Type1,0.047387144,5,1133.8574,50.8666
Regular,Frozen Foods,152.334,Tier 2,High,Supermarket Type1,0.147492524,5,2603.278,141.5838
Regular,Frozen Foods,45.406,Tier 2,High,Supermarket Type1,0,5,605.878,35.1558
Regular,Fruits and Vegetables,192.8846,Tier 2,Medium,Supermarket Type1,0.047036036,5,2293.0152,170.5422
Regular,Fruits and Vegetables,118.7782,Tier 2,Medium,Supermarket Type1,0.160095901,5,119.1782,61.5194
Regular,Meat,92.9804,Tier 2,Medium,Supermarket Type1,0.033951827,5,1929.4884,197.2426
Regular,Meat,109.8912,Tier 2,Medium,Supermarket Type1,0,5,2074.6328,36.6532
Regular,Meat,79.9618,Tier 2,Medium,Supermarket Type1,0.172446822,5,241.6854,47.1376
Regular,Meat,251.3724,Tier 2,Medium,Supermarket Type1,0.065890998,5,6795.1548,167.0816
Regular,Snack Foods,42.7112,Tier 2,Medium,Supermarket Type1,0.067083367,5,639.168,44.0112
Regular,Snack Foods,192.1846,Tier 2,Medium,Supermarket Type1,0.038167453,5,3248.4382,89.4856
Regular,Starchy Foods,227.6062,Tier 2,Medium,Supermarket Type1,0.005620213,5,7222.5984,226.6062
low fat,Health and Hygiene,229.0668,Tier 2,Medium,Supermarket Type1,0.076164013,5,3225.1352,34.0532
reg,Fruits and Vegetables,249.0408,Tier 2,Medium,Supermarket Type1,0.043402224,5,3755.112,197.0742
reg,Fruits and Vegetables,179.3976,Tier 2,Medium,Supermarket Type1,0.13283066,5,3440.8544,190.6872
reg,Snack Foods,163.4552,Tier 2,Medium,Supermarket Type1,0.124410284,5,974.7312,34.3874
LF,Soft Drinks,75.367,Tier 2,Small,Supermarket Type1,0.071064499,5,535.969,114.4518
Low Fat,Baking Goods,262.491,Tier 2,Small,Supermarket Type1,0.047178116,5,5259.82,99.4016
Low Fat,Baking Goods,152.034,Tier 2,Small,Supermarket Type1,0.130390458,5,306.268,77.2328
Low Fat,Baking Goods,112.3886,Tier 2,Small,Supermarket Type1,0.095140088,5,1779.0176,159.9604
Low Fat,Baking Goods,61.451,Tier 2,Small,Supermarket Type1,0.055347985,5,759.012,131.5284
Low Fat,Baking Goods,125.9704,Tier 2,Small,Supermarket Type1,0.060688248,5,1877.556,234.2616
Low Fat,Breads,171.8764,Tier 2,Small,Supermarket Type1,0.092576144,5,3779.0808,121.0098
Low Fat,Canned,41.5796,Tier 2,Small,Supermarket Type1,0.151376958,5,41.2796,108.228
Low Fat,Canned,51.1324,Tier 2,Small,Supermarket Type1,0.031938828,5,259.662,114.1492
Low Fat,Canned,96.341,Tier 2,Small,Supermarket Type1,0.028357839,5,193.082,163.2894
Low Fat,Canned,110.9202,Tier 2,Small,Supermarket Type1,0.042641788,5,1687.803,257.833
Low Fat,Canned,127.5362,Tier 2,Small,Supermarket Type1,0.169776346,5,4655.9394,184.4266
Low Fat,Frozen Foods,225.9404,Tier 2,Small,Supermarket Type1,0.127517605,5,4950.8888,86.0224
Low Fat,Frozen Foods,95.4436,Tier 2,Small,Supermarket Type1,0.036346224,5,1418.154,72.9696
Low Fat,Fruits and Vegetables,246.4144,Tier 2,Small,Supermarket Type1,0.038721734,5,1225.072,115.8808
